epoch,precision,recall,f1,roc_auc,macro_roc_auc
1,0.742898051734608,0.09090909090909091,0.0263558221291429,"{0: 0.5083486519607845, 1: 0.43644753886010357, 2: 0.48818005181347146, 3: 0.5007286269430051, 4: 0.5552910052910053, 5: 0.5036011080332411, 6: 0.6595567867036012, 7: 0.4976003490401396, 8: 0.49915747549019607, 9: 0.47725183823529416, 10: 0.4462316176470588, 11: 0.6606158088235294}",0.5208657683782238
2,0.5644634696918216,0.12679425837320574,0.06820990046961187,"{0: 0.6102941176470588, 1: 0.6232998704663212, 2: 0.7045012953367875, 3: 0.6308290155440415, 4: 0.6232804232804232, 5: 0.546191135734072, 6: 0.7061634349030471, 7: 0.6297993019197208, 8: 0.6835171568627451, 9: 0.560968137254902, 10: 0.4435508578431372, 11: 0.5263480392156863}",0.6088574983386036
3,0.618432624505499,0.14832535885167464,0.05157926720775957,"{0: 0.6979932598039216, 1: 0.803675518134715, 2: 0.8023801813471503, 3: 0.7032869170984456, 4: 0.6507936507936508, 5: 0.6865650969529085, 6: 0.7429362880886426, 7: 0.8230802792321117, 8: 0.7751225490196079, 9: 0.6073069852941176, 10: 0.5591299019607843, 11: 0.6034773284313726}",0.7060988212539069
4,0.28564178410025254,0.16507177033492823,0.06448430384416576,"{0: 0.7195925245098039, 1: 0.8538698186528497, 2: 0.8568652849740932, 3: 0.774449481865285, 4: 0.6146825396825397, 5: 0.6614265927977839, 6: 0.8376038781163435, 7: 0.822498545666085, 8: 0.7550551470588234, 9: 0.6627604166666666, 10: 0.5627297794117647, 11: 0.6142769607843137}",0.7294031087656551
5,0.3993231751038088,0.20574162679425836,0.13410652358609887,"{0: 0.7856158088235294, 1: 0.8496599740932642, 2: 0.8583225388601037, 3: 0.7126781088082901, 4: 0.591468253968254, 5: 0.7306786703601108, 6: 0.8311634349030471, 7: 0.8448225712623618, 8: 0.8059895833333333, 9: 0.7923560049019608, 10: 0.7230392156862746, 11: 0.7840839460784313}",0.7771147444684383
6,0.41060932289401186,0.26555023923444976,0.2011219770209821,"{0: 0.8157169117647058, 1: 0.8533840673575129, 2: 0.8792098445595855, 3: 0.8145239637305699, 4: 0.7599206349206349, 5: 0.7389196675900277, 6: 0.8778393351800554, 7: 0.8840168702734148, 8: 0.8660386029411764, 9: 0.8652726715686274, 10: 0.8370863970588235, 11: 0.7911305147058824}",0.8333591760860594
7,0.275111170601482,0.2966507177033493,0.25726426586724366,"{0: 0.8728553921568628, 1: 0.8775906735751295, 2: 0.8801813471502591, 3: 0.8002752590673575, 4: 0.7685185185185186, 5: 0.8529778393351801, 6: 0.8939058171745153, 7: 0.8532577079697499, 8: 0.8966758578431373, 9: 0.8955269607843138, 10: 0.9100030637254901, 11: 0.8232996323529412}",0.8616323298887443
8,0.38231248618751174,0.3229665071770335,0.29435090460849356,"{0: 0.8854166666666665, 1: 0.8763762953367875, 2: 0.8415641191709845, 3: 0.7869980569948187, 4: 0.8480158730158731, 5: 0.8932825484764543, 6: 0.8982686980609419, 7: 0.8953606748109366, 8: 0.922640931372549, 9: 0.9219515931372549, 10: 0.9191176470588235, 11: 0.8797487745098039}",0.881981342840072
9,0.41629859864430935,0.4473684210526316,0.41975671761628186,"{0: 0.9223345588235294, 1: 0.882610103626943, 2: 0.8983970207253886, 3: 0.8541936528497409, 4: 0.8667989417989417, 5: 0.9247229916897507, 6: 0.9556094182825485, 7: 0.9383362420011635, 8: 0.94140625, 9: 0.9325214460784315, 10: 0.9361979166666667, 11: 0.9247089460784315}",0.9158753843420895
10,0.44208453694099625,0.4354066985645933,0.43126684084521016,"{0: 0.9223345588235294, 1: 0.9014734455958548, 2: 0.8984779792746114, 3: 0.8975064766839377, 4: 0.906878306878307, 5: 0.9180747922437673, 6: 0.9450831024930748, 7: 0.9323007562536358, 8: 0.9432444852941176, 9: 0.9273897058823529, 10: 0.9310661764705882, 11: 0.9029564950980392}",0.9198547760305219
11,0.4232343233361252,0.4138755980861244,0.4115647731949835,"{0: 0.9113051470588236, 1: 0.8345207253886011, 2: 0.8626943005181347, 3: 0.8783193005181347, 4: 0.8899470899470898, 5: 0.9247922437673131, 6: 0.9416204986149584, 7: 0.9359365910413031, 8: 0.9446231617647058, 9: 0.9334405637254902, 10: 0.9212622549019609, 11: 0.897671568627451}",0.9078081006855853
12,0.4910708312297872,0.48086124401913877,0.479855694612477,"{0: 0.9333639705882353, 1: 0.8826910621761658, 2: 0.9187985751295337, 3: 0.9056832901554405, 4: 0.9054894179894181, 5: 0.9130193905817174, 6: 0.9518698060941828, 7: 0.9456079115764979, 8: 0.9605545343137255, 9: 0.9598651960784313, 10: 0.9422487745098038, 11: 0.9212622549019608}",0.9290875348795296
13,0.39399869118351377,0.39952153110047844,0.38465744775488236,"{0: 0.927313112745098, 1: 0.8980731865284974, 2: 0.910702720207254, 3: 0.9153173575129535, 4: 0.9101190476190476, 5: 0.9057479224376731, 6: 0.9033240997229918, 7: 0.9251018033740547, 8: 0.9440870098039216, 9: 0.9296875, 10: 0.9376531862745097, 11: 0.923406862745098}",0.9199425295106368
14,0.5408439613499562,0.5406698564593302,0.5391139952357449,"{0: 0.9282322303921569, 1: 0.8625323834196891, 2: 0.9045498704663212, 3: 0.9184747409326425, 4: 0.9259920634920635, 5: 0.9474376731301939, 6: 0.9722299168975069, 7: 0.9626236183827807, 8: 0.9604779411764706, 9: 0.9734221813725491, 10: 0.9590992647058824, 11: 0.91796875}",0.9374441260055977
15,0.5879709748500236,0.5765550239234449,0.5701799449547693,"{0: 0.9528186274509804, 1: 0.9060880829015544, 2: 0.9192843264248705, 3: 0.9417908031088082, 4: 0.928968253968254, 5: 0.9421745152354571, 6: 0.9729224376731302, 7: 0.9765852239674229, 8: 0.9785539215686274, 9: 0.9691329656862745, 10: 0.9537377450980392, 11: 0.9488357843137255}",0.9503550201038007
16,0.599902994400602,0.583732057416268,0.5817398569247045,"{0: 0.9397212009803921, 1: 0.9201748704663212, 2: 0.951910621761658, 3: 0.9519915803108808, 4: 0.9392195767195768, 5: 0.9630193905817175, 6: 0.9743767313019391, 7: 0.963132635253054, 8: 0.9643075980392156, 9: 0.9630055147058824, 10: 0.9397977941176471, 11: 0.9368872549019609}",0.951281523134889
17,0.6880139774708423,0.6770334928229665,0.6734815872847777,"{0: 0.9603247549019608, 1: 0.9336949481865285, 2: 0.9474579015544041, 3: 0.9522344559585493, 4: 0.9462962962962963, 5: 0.9632963988919667, 6: 0.9747229916897507, 7: 0.9741855730075625, 8: 0.9682904411764706, 9: 0.9823069852941176, 10: 0.9723498774509804, 11: 0.9620098039215687}",0.9622822870730495
18,0.6172281690315018,0.5980861244019139,0.5920104424616514,"{0: 0.9614736519607843, 1: 0.9322376943005182, 2: 0.9685071243523315, 3: 0.9652687823834197, 4: 0.9610449735449735, 5: 0.9765927977839336, 6: 0.9682825484764542, 7: 0.946262361838278, 8: 0.956265318627451, 9: 0.9643841911764706, 10: 0.9604779411764706, 11: 0.9610906862745098}",0.9606643546384059
19,0.6873383348713353,0.6794258373205742,0.6796696937350294,"{0: 0.9516697303921569, 1: 0.9293231865284974, 2: 0.9567681347150259, 3: 0.9598445595854923, 4: 0.9531746031746032, 5: 0.9717451523545706, 6: 0.9857340720221606, 7: 0.9761489237929029, 8: 0.9833026960784313, 9: 0.9816942401960784, 10: 0.9795496323529412, 11: 0.9721200980392157}",0.9672509855240606
20,0.5728721477293788,0.569377990430622,0.5555203875962422,"{0: 0.9659926470588235, 1: 0.9294041450777202, 2: 0.9640544041450777, 3: 0.9593588082901554, 4: 0.9592592592592593, 5: 0.9530470914127424, 6: 0.9438365650969529, 7: 0.9310645724258291, 8: 0.9390318627450981, 9: 0.9450061274509804, 10: 0.9578737745098039, 11: 0.9662990196078431}",0.9518291931044436
21,0.682455371708197,0.6770334928229665,0.6756047094223949,"{0: 0.9619332107843136, 1: 0.9477817357512954, 2: 0.9628400259067358, 3: 0.9606541450777202, 4: 0.959589947089947, 5: 0.975415512465374, 6: 0.9841412742382272, 7: 0.9759307737056429, 8: 0.9800091911764706, 9: 0.9848345588235294, 10: 0.9632352941176471, 11: 0.9596354166666666}",0.9685257558744543
22,0.6897757043040901,0.6818181818181818,0.6809552482171292,"{0: 0.9626225490196079, 1: 0.9383905440414508, 2: 0.9688309585492229, 3: 0.9642163212435233, 4: 0.9737433862433862, 5: 0.9838642659279778, 6: 0.9864958448753463, 7: 0.9784758580570099, 8: 0.9823069852941176, 9: 0.9848345588235294, 10: 0.9780177696078433, 11: 0.9692095588235294}",0.9732799355255827
23,0.6345096363256932,0.6196172248803827,0.618893397586389,"{0: 0.958563112745098, 1: 0.9362046632124352, 2: 0.9769268134715026, 3: 0.973931347150259, 4: 0.954563492063492, 5: 0.965027700831025, 6: 0.9625346260387811, 7: 0.9694589877835951, 8: 0.9712775735294117, 9: 0.9777113970588236, 10: 0.9604779411764706, 11: 0.9650735294117647}",0.9650256618476165
24,0.772990461067866,0.7607655502392344,0.7618248430974539,"{0: 0.9708946078431373, 1: 0.9600064766839378, 2: 0.9790317357512953, 3: 0.9621113989637305, 4: 0.9673941798941799, 5: 0.9880886426592798, 6: 0.9894044321329639, 7: 0.9908376963350785, 8: 0.9889705882352942, 9: 0.9888174019607843, 10: 0.9810049019607843, 11: 0.9785539215686274}",0.9792874915771217
25,0.747685218002215,0.7416267942583732,0.7413547457591699,"{0: 0.9751838235294118, 1: 0.9476198186528497, 2: 0.9701262953367875, 3: 0.9636496113989637, 4: 0.9677248677248678, 5: 0.9874653739612188, 6: 0.9877423822714682, 7: 0.9885834787667248, 8: 0.9888939950980392, 9: 0.9820772058823529, 10: 0.977251838235294, 11: 0.9706648284313726}",0.9760658398391084
26,0.6982934872711118,0.6889952153110048,0.6900224563470894,"{0: 0.9607077205882353, 1: 0.9476198186528497, 2: 0.967130829015544, 3: 0.9684261658031088, 4: 0.9726190476190476, 5: 0.9869806094182826, 6: 0.9809556786703602, 7: 0.9800029086678301, 8: 0.9735753676470588, 9: 0.975030637254902, 10: 0.9712009803921569, 11: 0.9682904411764706}",0.9716468543975765
27,0.6886134471324357,0.6794258373205742,0.6765789508779,"{0: 0.9686734068627452, 1: 0.9580634715025906, 2: 0.975955310880829, 3: 0.9702072538860104, 4: 0.9506613756613757, 5: 0.956578947368421, 6: 0.9790858725761773, 7: 0.9785485747527632, 8: 0.9835324754901961, 9: 0.9846813725490196, 10: 0.9771752450980391, 11: 0.973422181372549}",0.972160473246589
28,0.7417660950800108,0.7344497607655502,0.7359709484741029,"{0: 0.974188112745098, 1: 0.9672927461139896, 2: 0.9736075129533678, 3: 0.960735103626943, 4: 0.9755291005291005, 5: 0.9870498614958448, 6: 0.9804016620498615, 7: 0.9716404886561955, 8: 0.974188112745098, 9: 0.9835324754901961, 10: 0.9817708333333334, 11: 0.9766390931372548}",0.9760585446413954
29,0.7566187139858994,0.7488038277511961,0.7480101539709307,"{0: 0.9748774509803921, 1: 0.9578205958549223, 2: 0.9688309585492227, 3: 0.9642163212435233, 4: 0.9757936507936509, 5: 0.9878116343490305, 6: 0.9851800554016621, 7: 0.9893833624200117, 8: 0.9872089460784313, 9: 0.9916513480392157, 10: 0.9744944852941178, 11: 0.9705882352941175}",0.9779985169302912
30,0.7173521901280592,0.7057416267942583,0.7032436757074814,"{0: 0.9790134803921569, 1: 0.9608970207253886, 2: 0.988018134715026, 3: 0.9857512953367875, 4: 0.9704365079365079, 5: 0.9714681440443214, 6: 0.9682132963988919, 7: 0.951934264107039, 8: 0.9584865196078431, 9: 0.9833792892156863, 10: 0.977328431372549, 11: 0.9735753676470589}",0.9729890971611694
31,0.7404296402515561,0.7344497607655502,0.7340838976689831,"{0: 0.971124387254902, 1: 0.9515867875647669, 2: 0.9838892487046632, 3: 0.970369170984456, 4: 0.9766534391534392, 5: 0.9863573407202216, 6: 0.9750692520775623, 7: 0.9662594531704479, 8: 0.96875, 9: 0.9879748774509804, 10: 0.9888174019607843, 11: 0.9734987745098038}",0.9755243957781812
32,0.736619440580718,0.7248803827751196,0.7225591620219429,"{0: 0.965609681372549, 1: 0.9507772020725389, 2: 0.9681023316062176, 3: 0.9546632124352332, 4: 0.9743386243386243, 5: 0.9876038781163434, 6: 0.9878808864265928, 7: 0.9852385107620709, 8: 0.9800091911764706, 9: 0.992876838235294, 10: 0.9838388480392157, 11: 0.9761795343137254}",0.9762610269393753
33,0.7442992909536725,0.7416267942583732,0.7404390794892063,"{0: 0.9845281862745098, 1: 0.9521534974093264, 2: 0.9666450777202071, 3: 0.9612208549222798, 4: 0.9773148148148149, 5: 0.9812326869806094, 6: 0.9790858725761773, 7: 0.986111111111111, 8: 0.9878982843137255, 9: 0.9850643382352942, 10: 0.9816942401960784, 11: 0.9738817401960784}",0.9768872480676376
34,0.7287957616122382,0.7177033492822966,0.7193459386051924,"{0: 0.9707414215686274, 1: 0.9589540155440415, 2: 0.9668069948186528, 3: 0.9616256476683938, 4: 0.970568783068783, 5: 0.9852493074792243, 6: 0.9810941828254848, 7: 0.970913321698662, 8: 0.9770986519607843, 9: 0.9871323529411764, 10: 0.9839920343137254, 11: 0.9698988970588236}",0.9741980952443159
35,0.7771231276285078,0.7679425837320574,0.7686005078658531,"{0: 0.9790134803921569, 1: 0.9719883419689119, 2: 0.976360103626943, 3: 0.962354274611399, 4: 0.9697089947089947, 5: 0.9787396121883656, 6: 0.9877423822714682, 7: 0.9843659104130309, 8: 0.9862898284313726, 9: 0.9911151960784313, 10: 0.9865196078431373, 11: 0.9833026960784315}",0.9803484180927067
36,0.7358594996305756,0.7200956937799043,0.7197552231277157,"{0: 0.9758731617647058, 1: 0.9644591968911916, 2: 0.9805699481865285, 3: 0.971583549222798, 4: 0.9735449735449735, 5: 0.9905124653739611, 6: 0.9869806094182825, 7: 0.9784758580570099, 8: 0.9800091911764706, 9: 0.9880514705882353, 10: 0.9772518382352942, 11: 0.9740349264705882}",0.9788913667318665
37,0.7686382239409326,0.7559808612440191,0.7585434750935863,"{0: 0.9692861519607843, 1: 0.9484294041450777, 2: 0.9574158031088082, 3: 0.9557966321243523, 4: 0.9797619047619047, 5: 0.9942520775623269, 6: 0.9862880886426593, 7: 0.9824025596276905, 8: 0.9881280637254902, 9: 0.9895833333333333, 10: 0.9824601715686274, 11: 0.9643075980392156}",0.9757220779543937
38,0.7484151731144096,0.7416267942583732,0.7395961321420403,"{0: 0.9809283088235294, 1: 0.9684261658031088, 2: 0.9747409326424871, 3: 0.969964378238342, 4: 0.9771825396825398, 5: 0.9863573407202215, 6: 0.9807479224376732, 7: 0.9804392088423501, 8: 0.9810814950980391, 9: 0.9898131127450981, 10: 0.9793964460784313, 11: 0.9844515931372548}",0.9799740620008395
39,0.7698475281862325,0.7631578947368421,0.76345411127886,"{0: 0.9822303921568627, 1: 0.9724740932642487, 2: 0.9727979274611399, 3: 0.9749838082901554, 4: 0.9772486772486773, 5: 0.9929362880886426, 6: 0.9917590027700831, 7: 0.9849476439790577, 8: 0.9844515931372548, 9: 0.9865196078431372, 10: 0.9790900735294117, 11: 0.9756433823529411}",0.9817253194044172
40,0.810519811302705,0.8014354066985646,0.8021918241343389,"{0: 0.978094362745098, 1: 0.9608970207253886, 2: 0.9817033678756476, 3: 0.9849417098445595, 4: 0.9921296296296296, 5: 0.9915512465373961, 6: 0.9913434903047091, 7: 0.9920011634671321, 8: 0.9911151960784315, 9: 0.984375, 10: 0.9863664215686274, 11: 0.9725030637254901}",0.9844502203231846
